frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,traffic9,3,0,2.1565,3,LOW,0.0
5,0.17,traffic9,3,0,2.294,0,LOW,0.0
10,0.33,traffic9,2,0,1.3283,1,LOW,0.0
15,0.5,traffic9,3,0,2.1695,1,LOW,0.0
20,0.67,traffic9,2,0,0.9892,1,LOW,0.0
25,0.83,traffic9,5,2,2.8817,3,LOW,0.4
30,1.0,traffic9,3,0,2.0074,2,LOW,0.0
35,1.17,traffic9,3,0,1.906,0,LOW,0.0
40,1.33,traffic9,5,0,4.6518,2,LOW,0.0
45,1.5,traffic9,3,0,1.7622,2,LOW,0.0
50,1.67,traffic9,4,0,3.83,1,LOW,0.0
55,1.83,traffic9,4,0,3.6276,0,LOW,0.0
60,2.0,traffic9,3,0,1.7721,1,LOW,0.0
65,2.17,traffic9,3,0,1.7877,0,LOW,0.0
70,2.33,traffic9,4,0,3.0712,1,LOW,0.0
75,2.5,traffic9,2,0,2.1511,2,LOW,0.0
80,2.67,traffic9,3,0,2.4229,1,LOW,0.0
85,2.83,traffic9,3,0,2.7294,0,LOW,0.0
90,3.0,traffic9,4,0,2.4075,1,LOW,0.0
95,3.17,traffic9,4,0,3.3732,0,LOW,0.0
100,3.33,traffic9,4,0,3.2621,0,LOW,0.0
105,3.5,traffic9,4,0,3.1237,0,LOW,0.0
110,3.67,traffic9,4,0,2.1846,0,LOW,0.0
115,3.83,traffic9,3,0,2.3413,1,LOW,0.0
120,4.0,traffic9,4,0,2.5104,1,LOW,0.0
125,4.17,traffic9,4,0,8.7867,0,LOW,0.0
130,4.33,traffic9,4,0,10.2279,0,LOW,0.0
135,4.5,traffic9,4,0,2.7679,0,LOW,0.0
140,4.67,traffic9,2,0,1.4354,2,LOW,0.0
145,4.83,traffic9,4,0,7.9228,2,LOW,0.0
150,5.0,traffic9,2,0,1.1611,2,LOW,0.0
155,5.17,traffic9,2,0,1.3115,0,LOW,0.0
160,5.33,traffic9,4,0,2.4229,2,LOW,0.0
165,5.5,traffic9,3,0,1.5466,1,LOW,0.0
170,5.67,traffic9,3,0,2.1789,0,LOW,0.0
175,5.83,traffic9,3,0,2.0947,0,LOW,0.0
180,6.0,traffic9,2,0,1.019,1,LOW,0.0
185,6.17,traffic9,4,0,2.3255,2,LOW,0.0
190,6.33,traffic9,2,0,0.9034,2,LOW,0.0
195,6.5,traffic9,2,0,12.0461,0,LOW,0.0
