frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,traffic11,5,0,0.8149,5,LOW,0.0
5,0.17,traffic11,5,0,0.8008,0,LOW,0.0
10,0.33,traffic11,4,0,0.5345,1,LOW,0.0
15,0.5,traffic11,4,0,0.7376,0,LOW,0.0
20,0.67,traffic11,6,0,0.9093,2,MEDIUM,0.0
25,0.83,traffic11,7,0,1.1474,1,MEDIUM,0.0
30,1.0,traffic11,5,0,0.8942,2,LOW,0.0
35,1.17,traffic11,6,0,1.1474,1,MEDIUM,0.0
40,1.33,traffic11,5,0,0.9039,1,LOW,0.0
45,1.5,traffic11,5,0,0.902,0,LOW,0.0
50,1.67,traffic11,7,0,1.093,2,MEDIUM,0.0
55,1.83,traffic11,5,0,0.9193,2,LOW,0.0
60,2.0,traffic11,8,0,1.3775,3,MEDIUM,0.0
65,2.17,traffic11,10,2,1.4553,2,MEDIUM,0.2
70,2.33,traffic11,6,0,1.0475,4,MEDIUM,0.0
75,2.5,traffic11,5,0,0.995,1,LOW,0.0
80,2.67,traffic11,6,0,1.1428,1,MEDIUM,0.0
85,2.83,traffic11,8,0,1.4361,2,MEDIUM,0.0
90,3.0,traffic11,7,0,1.2845,1,MEDIUM,0.0
95,3.17,traffic11,5,0,0.8907,2,LOW,0.0
100,3.33,traffic11,6,0,0.9335,1,MEDIUM,0.0
105,3.5,traffic11,6,2,0.8548,0,MEDIUM,0.3333
110,3.67,traffic11,5,0,0.9268,1,LOW,0.0
115,3.83,traffic11,5,0,0.9655,0,LOW,0.0
120,4.0,traffic11,5,0,1.0538,0,LOW,0.0
125,4.17,traffic11,5,0,0.9744,0,LOW,0.0
130,4.33,traffic11,4,0,0.9814,1,LOW,0.0
135,4.5,traffic11,5,0,1.3882,1,LOW,0.0
140,4.67,traffic11,4,0,0.9303,1,LOW,0.0
145,4.83,traffic11,5,0,1.0591,1,LOW,0.0
150,5.0,traffic11,6,0,1.0827,1,MEDIUM,0.0
155,5.17,traffic11,5,0,1.1421,1,LOW,0.0
160,5.33,traffic11,5,0,1.1503,0,LOW,0.0
165,5.5,traffic11,5,0,1.029,0,LOW,0.0
170,5.67,traffic11,5,0,1.0215,0,LOW,0.0
175,5.83,traffic11,6,0,1.0885,1,MEDIUM,0.0
180,6.0,traffic11,7,2,1.1046,1,MEDIUM,0.2857
