frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,traffic3,23,2,14.6862,23,HIGH,0.087
5,0.2,traffic3,24,0,15.7373,1,HIGH,0.0
10,0.4,traffic3,24,0,16.1744,0,HIGH,0.0
15,0.6,traffic3,24,0,16.9123,0,HIGH,0.0
20,0.8,traffic3,24,0,17.1735,0,HIGH,0.0
25,1.0,traffic3,24,0,16.5782,0,HIGH,0.0
30,1.2,traffic3,27,0,19.0895,3,HIGH,0.0
35,1.4,traffic3,27,2,17.6508,0,HIGH,0.0741
40,1.6,traffic3,21,4,14.2913,6,HIGH,0.1905
45,1.8,traffic3,30,4,18.2491,9,HIGH,0.1333
50,2.0,traffic3,22,2,14.8903,8,HIGH,0.0909
55,2.2,traffic3,23,3,14.8532,1,HIGH,0.1304
60,2.4,traffic3,26,4,16.2653,3,HIGH,0.1538
65,2.6,traffic3,25,6,15.5943,1,HIGH,0.24
70,2.8,traffic3,28,4,17.5276,3,HIGH,0.1429
75,3.0,traffic3,26,4,16.4531,2,HIGH,0.1538
80,3.2,traffic3,25,4,16.3024,1,HIGH,0.16
85,3.4,traffic3,21,2,14.5511,4,HIGH,0.0952
90,3.6,traffic3,21,2,14.6298,0,HIGH,0.0952
95,3.8,traffic3,23,6,15.2683,2,HIGH,0.2609
100,4.0,traffic3,19,2,14.5942,4,HIGH,0.1053
105,4.2,traffic3,23,4,16.5342,4,HIGH,0.1739
110,4.4,traffic3,22,2,16.457,1,HIGH,0.0909
115,4.6,traffic3,23,4,17.1219,1,HIGH,0.1739
120,4.8,traffic3,25,2,17.2571,2,HIGH,0.08
125,5.0,traffic3,18,0,14.7943,7,HIGH,0.0
130,5.2,traffic3,24,0,16.8898,6,HIGH,0.0
135,5.4,traffic3,21,0,15.5045,3,HIGH,0.0
140,5.6,traffic3,18,0,14.8341,3,HIGH,0.0
145,5.8,traffic3,21,0,14.312,3,HIGH,0.0
150,6.0,traffic3,18,0,13.3585,3,HIGH,0.0
155,6.2,traffic3,17,2,13.1411,1,HIGH,0.1176
160,6.4,traffic3,22,0,15.3844,5,HIGH,0.0
165,6.6,traffic3,21,5,14.666,1,HIGH,0.2381
170,6.8,traffic3,19,3,13.6019,2,HIGH,0.1579
175,7.0,traffic3,25,0,16.5714,6,HIGH,0.0
180,7.2,traffic3,25,0,15.8099,0,HIGH,0.0
185,7.4,traffic3,30,2,17.9501,5,HIGH,0.0667
190,7.6,traffic3,29,2,18.267,1,HIGH,0.069
195,7.8,traffic3,27,2,17.2125,2,HIGH,0.0741
200,8.0,traffic3,25,0,14.5171,2,HIGH,0.0
205,8.2,traffic3,22,0,12.5811,3,HIGH,0.0
210,8.4,traffic3,22,0,13.7436,0,HIGH,0.0
215,8.6,traffic3,23,0,14.1361,1,HIGH,0.0
220,8.8,traffic3,27,0,15.1703,4,HIGH,0.0
225,9.0,traffic3,24,0,13.8038,3,HIGH,0.0
230,9.2,traffic3,30,0,16.1744,6,HIGH,0.0
235,9.4,traffic3,26,2,15.1293,4,HIGH,0.0769
240,9.6,traffic3,27,0,16.226,1,HIGH,0.0
245,9.8,traffic3,26,2,15.6463,1,HIGH,0.0769
250,10.0,traffic3,25,0,15.5492,1,HIGH,0.0
255,10.2,traffic3,26,0,15.6715,1,HIGH,0.0
260,10.4,traffic3,28,6,16.2826,2,HIGH,0.2143
265,10.6,traffic3,22,2,14.1055,6,HIGH,0.0909
270,10.8,traffic3,21,2,13.6215,1,HIGH,0.0952
275,11.0,traffic3,26,2,15.5017,5,HIGH,0.0769
280,11.2,traffic3,29,2,16.5867,3,HIGH,0.069
285,11.4,traffic3,29,2,15.8476,0,HIGH,0.069
290,11.6,traffic3,24,0,13.7513,5,HIGH,0.0
295,11.8,traffic3,27,2,14.3383,3,HIGH,0.0741
300,12.0,traffic3,24,4,12.5548,3,HIGH,0.1667
305,12.2,traffic3,22,4,11.5019,2,HIGH,0.1818
310,12.4,traffic3,20,2,9.9575,2,HIGH,0.1
315,12.6,traffic3,19,0,9.2347,1,HIGH,0.0
320,12.8,traffic3,25,6,11.1694,6,HIGH,0.24
325,13.0,traffic3,19,2,8.8542,6,HIGH,0.1053
330,13.2,traffic3,18,2,8.369,1,HIGH,0.1111
335,13.39,traffic3,14,0,6.9449,4,MEDIUM,0.0
340,13.59,traffic3,17,0,8.1462,3,HIGH,0.0
345,13.79,traffic3,21,0,9.4038,4,HIGH,0.0
350,13.99,traffic3,22,0,8.962,1,HIGH,0.0
355,14.19,traffic3,17,0,7.6854,5,HIGH,0.0
360,14.39,traffic3,19,2,8.5351,2,HIGH,0.1053
365,14.59,traffic3,23,2,10.268,4,HIGH,0.087
370,14.79,traffic3,20,2,8.6474,3,HIGH,0.1
375,14.99,traffic3,23,2,10.117,3,HIGH,0.087
380,15.19,traffic3,22,2,9.6524,1,HIGH,0.0909
385,15.39,traffic3,22,2,9.6969,0,HIGH,0.0909
390,15.59,traffic3,24,4,10.2469,2,HIGH,0.1667
395,15.79,traffic3,23,4,10.2018,1,HIGH,0.1739
400,15.99,traffic3,20,6,8.7459,3,HIGH,0.3
405,16.19,traffic3,18,4,8.3901,2,HIGH,0.2222
